Comunidades y ciudades autónomas;Sexo;País de nacimiento;Grupo quinquenal de edad;Periodo;Total
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2012S1;-35
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2011S2;62
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2011S1;-33
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2010S2;-10
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2010S1;-2
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2009S2;-29
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2009S1;-27
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2008S2;274
01 Andalucía;Hombres;Extranjero;De 45 a 49 años;2008S1;498
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2022S1;110
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2021S2;228
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2021S1;-61
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2020S2;547
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2020S1;85
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2019S2;451
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2019S1;332
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2018S2;220
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2018S1;-375
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2017S2;-112
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2017S1;-299
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2016S2;-30
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2016S1;-82
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2015S2;85
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2015S1;5
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2014S2;-45
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2014S1;-62
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2013S2;-235
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2013S1;-345
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2012S2;-10
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2012S1;-31
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2011S2;145
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2011S1;62
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2010S2;41
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2010S1;101
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2009S2;72
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2009S1;95
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2008S2;214
01 Andalucía;Hombres;Extranjero;De 50 a 54 años;2008S1;414
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2022S1;141
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2021S2;337
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2021S1;208
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2020S2;692
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2020S1;166
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2019S2;461
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2019S1;422
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2018S2;327
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2018S1;-152
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2017S2;44
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2017S1;-145
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2016S2;50
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2016S1;-21
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2015S2;61
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2015S1;-6
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2014S2;56
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2014S1;11
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2013S2;56
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2013S1;-67
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2012S2;98
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2012S1;102
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2011S2;229
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2011S1;197
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2010S2;204
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2010S1;190
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2009S2;137
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2009S1;178
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2008S2;298
01 Andalucía;Hombres;Extranjero;De 55 a 59 años;2008S1;478
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2022S1;197
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2021S2;432
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2021S1;275
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2020S2;672
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2020S1;106
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2019S2;468
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2019S1;521
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2018S2;408
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2018S1;-2
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2017S2;144
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2017S1;-22
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2016S2;64
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2016S1;187
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2015S2;166
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2015S1;168
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2014S2;229
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2014S1;252
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2013S2;156
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2013S1;43
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2012S2;286
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2012S1;232
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2011S2;347
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2011S1;293
01 Andalucía;Hombres;Extranjero;De 60 a 64 años;2010S2;317
